                 Words      Mean #Total #Positive #Neg     PosMean   NegMean
1118              CCCP  0.018399      1         1    0   0.0183993  0.000000
1363     TransGaussian  0.018396      1         1    0    0.018396  0.000000
948            summary  0.018387      2         2    0    0.018387  0.000000
364          mentioned -0.018361      4         0    4           0 -0.018361
262           approach -0.018325      9         0    9           0 -0.018325
184              which -0.018294     16         0   16           0 -0.018294
115            release  0.018205      2         2    0   0.0182053  0.000000
911           somewhat  0.018188      1         1    0   0.0181881  0.000000
1119                 J  0.018164      1         1    0   0.0181638  0.000000
1175      hierarchical  0.018122      1         1    0   0.0181216  0.000000
1434         histories  0.018110      1         1    0   0.0181102  0.000000
27       characterizes -0.018105      1         0    1           0 -0.018105
1248                RL  0.018102      2         2    0   0.0181024  0.000000
193           November  0.018080      1         1    0   0.0180804  0.000000
1346    representation -0.018048      3         0    3           0 -0.018048
415            current -0.017886      3         0    3           0 -0.017886
270         approaches -0.017880      4         0    4           0 -0.017880
266           proposes -0.017847     16         0   16           0 -0.017847
841       biclustering  0.017817      1         1    0   0.0178171  0.000000
910          posterior  0.017804      2         2    0   0.0178041  0.000000
1364          Gaussian  0.017795      1         1    0    0.017795  0.000000
480           benefits  0.017781      2         2    0   0.0177807  0.000000
577            covered  0.017748      1         1    0   0.0177478  0.000000
796               Zero  0.017737      1         1    0   0.0177373  0.000000
151           proposed -0.017715     13         0   13           0 -0.017715
690          stability  0.017705      1         1    0   0.0177051  0.000000
1089        submission  0.017704      3         3    0   0.0177041  0.000000
531             kernel -0.017669      1         0    1           0 -0.017669
644            encoder  0.017664      2         2    0   0.0176641  0.000000
255              large -0.017659      3         0    3           0 -0.017659
1120        compelling  0.017624      1         1    0   0.0176236  0.000000
236           relevant -0.017609      2         0    2           0 -0.017609
691           clipping  0.017585      1         1    0   0.0175847  0.000000
405           material -0.017575      2         0    2           0 -0.017575
622               look  0.017486      2         2    0   0.0174857  0.000000
1277              Task  0.017462      2         2    0   0.0174619  0.000000
230            require -0.017440      3         0    3           0 -0.017440
798                ROM -0.017426      1         0    1           0 -0.017426
618      convolutional  0.017414      5         5    0   0.0174145  0.000000
268               Thus -0.017377      5         0    5           0 -0.017377
721         predicting  0.017370      3         3    0   0.0173699  0.000000
428               RNNs -0.017324      1         0    1           0 -0.017324
1184              type -0.017318      2         0    2           0 -0.017318
156            missing -0.017315      6         0    6           0 -0.017315
975               feel  0.017280      4         4    0   0.0172796  0.000000
693           geometry  0.017189      1         1    0   0.0171888  0.000000
793                 et -0.017163      2         0    2           0 -0.017163
510            Another -0.017123      8         0    8           0 -0.017123
1180        impressive  0.017115      2         2    0   0.0171155  0.000000
216             method -0.017103     15         0   15           0 -0.017103
1365            fixing  0.017100      1         1    0   0.0170995  0.000000
102             before -0.017059      2         0    2           0 -0.017059
1298           Hogwild -0.017019      1         0    1           0 -0.017019
1005           pattern -0.017018      1         0    1           0 -0.017018
1121            spirit  0.017018      1         1    0   0.0170179  0.000000
1122            latent  0.016993      1         1    0   0.0169931  0.000000
11                deep  0.016969     15        15    0   0.0169694  0.000000
609     discriminative  0.016940      1         1    0     0.01694  0.000000
117            however -0.016937     14         0   14           0 -0.016937
265             Critic  0.016920      5         5    0   0.0169199  0.000000
533             allows  0.016902      1         1    0    0.016902  0.000000
1510         motivates  0.016873      1         1    0   0.0168733  0.000000
996                two -0.016860      4         0    4           0 -0.016860
710       Unsupervised -0.016851      2         0    2           0 -0.016851
18                like  0.016836     15        15    0   0.0168364  0.000000
477       Vandereycken  0.016809      1         1    0   0.0168093  0.000000
579            domains -0.016761      1         0    1           0 -0.016761
765         misleading -0.016756      1         0    1           0 -0.016756
234       architecture -0.016724      9         0    9           0 -0.016724
431              worth  0.016723      4         4    0   0.0167229  0.000000
478                  O  0.016693      1         1    0   0.0166935  0.000000
950         parameters  0.016685      5         5    0   0.0166851  0.000000
695                own  0.016665      1         1    0   0.0166645  0.000000
610         comparable  0.016656      1         1    0   0.0166557  0.000000
1299        randomized  0.016644      1         1    0   0.0166441  0.000000
566            written  0.016597      8         8    0   0.0165973  0.000000
202                toy  0.016575      4         4    0   0.0165751  0.000000
942      effectiveness  0.016561      1         1    0   0.0165606  0.000000
1123              tldr  0.016548      1         1    0   0.0165477  0.000000
646           boundary -0.016512      1         0    1           0 -0.016512
940               list -0.016499      2         0    2           0 -0.016499
324            feature -0.016487      1         0    1           0 -0.016487
454              might  0.016451      3         3    0   0.0164515  0.000000
943            Adagrad -0.016424      1         0    1           0 -0.016424
580               DRQN  0.016418      1         1    0   0.0164175  0.000000
28          appreciate  0.016412      3         3    0   0.0164118  0.000000
374               Last  0.016388      2         2    0   0.0163885  0.000000
15                 but -0.016377     15         0   15           0 -0.016377
228              shown  0.016372      3         3    0   0.0163721  0.000000
48                  or -0.016340     26         1   25    0.013558 -0.017536
842           sparsity  0.016336      1         1    0   0.0163365  0.000000
1150               GPU  0.016311      1         1    0   0.0163106  0.000000
1070           enhance  0.016280      1         1    0   0.0162802  0.000000
1411        restricted -0.016267      1         0    1           0 -0.016267
389            looking  0.016258      1         1    0   0.0162576  0.000000
316           requires -0.016193      2         0    2           0 -0.016193
283            problem -0.016183      3         0    3           0 -0.016183
645              setup  0.016169      4         4    0   0.0161695  0.000000
37                deal -0.016158      1         0    1           0 -0.016158
516                 Li  0.016149      2         1    1   0.0447457 -0.012448
612                why -0.016140      7         0    7           0 -0.016140
843            appears  0.016131      1         1    0   0.0161307  0.000000
398               show  0.016122      9         9    0   0.0161216  0.000000
1205        diagnostic -0.016086      1         0    1           0 -0.016086
1458           nothing -0.016058      1         0    1           0 -0.016058
321                 my  0.016021     11        10    1   0.0187053 -0.010818
776           preprint  0.016002      2         2    0   0.0160023  0.000000
550               time  0.015992      2         2    0   0.0159922  0.000000
54                  no -0.015987     13         0   13           0 -0.015987
290                you  0.015966     16        15    1   0.0175886 -0.008370
1006          deadline  0.015966      1         1    0   0.0159655  0.000000
1176       minibatches  0.015943      1         1    0   0.0159429  0.000000
1366            TransE -0.015939      1         0    1           0 -0.015939
1511          Numerous  0.015927      1         1    0   0.0159269  0.000000
1125           reports -0.015897      1         0    1           0 -0.015897
1367            pretty  0.015896      1         1    0   0.0158963  0.000000
581           Deepmind  0.015894      1         1    0   0.0158944  0.000000
293            whether -0.015886      3         0    3           0 -0.015886
1007        additional  0.015865      1         1    0   0.0158653  0.000000
534            outside  0.015857      1         1    0   0.0158572  0.000000
1301          together  0.015834      1         1    0   0.0158345  0.000000
608                 So -0.015833      7         0    7           0 -0.015833
39               known -0.015786      1         0    1           0 -0.015786
92             similar  0.015780      6         6    0   0.0157801  0.000000
1206        encouraged  0.015779      1         1    0   0.0157795  0.000000
325           quantile  0.015768      1         1    0   0.0157677  0.000000
1151               103  0.015750      1         1    0   0.0157495  0.000000
1091            Socher  0.015733      1         1    0   0.0157334  0.000000
40                vary  0.015724      1         1    0   0.0157239  0.000000
1177       forecasting  0.015715      1         1    0   0.0157146  0.000000
535              Stein  0.015699      1         1    0   0.0156994  0.000000
1036               CDL -0.015690      1         0    1           0 -0.015690
1152            Gideon  0.015662      1         1    0   0.0156617  0.000000
582               Adam  0.015632      2         2    0   0.0156319  0.000000
1344             gated  0.015626      1         1    0    0.015626  0.000000
1459          scenario  0.015623      1         1    0   0.0156232  0.000000
585                DQN -0.015593      1         0    1           0 -0.015593
1327        structures -0.015592      1         0    1           0 -0.015592
536          Inception -0.015582      1         0    1           0 -0.015582
327             scheme  0.015581      1         1    0   0.0155814  0.000000
611         incomplete -0.015565      1         0    1           0 -0.015565
391         optimising  0.015548      1         1    0   0.0155484  0.000000
913               hand -0.015541      1         0    1           0 -0.015541
928               poor -0.015536      2         0    2           0 -0.015536
844            Totally -0.015501      1         0    1           0 -0.015501
375             useful  0.015501     10        10    0   0.0155012  0.000000
1460          ablation  0.015501      1         1    0   0.0155007  0.000000
177            section -0.015485      6         1    5   0.0108154 -0.020745
73             because -0.015475      8         0    8           0 -0.015475
106            authors  0.015438     17        15    2   0.0189249 -0.010718
1085                 m  0.015423      2         1    1   0.0382603 -0.007414
762               CNNs  0.015409      2         2    0    0.015409  0.000000
1134          original -0.015409      3         0    3           0 -0.015409
23               study -0.015406      3         0    3           0 -0.015406
1136           conduct -0.015365      2         0    2           0 -0.015365
567                art  0.015356      3         2    1   0.0279431 -0.009819
1207           choices  0.015347      1         1    0   0.0153468  0.000000
101          baselines  0.015314      7         7    0   0.0153139  0.000000
3                   It -0.015297     38         4   34   0.0153542 -0.018903
1302            people  0.015268      1         1    0   0.0152675  0.000000
799               year  0.015259      1         1    0    0.015259  0.000000
198             digits  0.015254      1         1    0   0.0152544  0.000000
421                see  0.015249     12        12    0   0.0152493  0.000000
1178           Nitpick  0.015244      1         1    0   0.0152436  0.000000
482           instance  0.015217      1         1    0   0.0152166  0.000000
1179               VAE -0.015212      1         0    1           0 -0.015212
393            texture -0.015202      1         0    1           0 -0.015202
112                 an -0.015193     25         0   25           0 -0.015193
44                 too -0.015188      2         0    2           0 -0.015188
914               plus  0.015176      1         1    0   0.0151761  0.000000
14                uses  0.015174      3         3    0   0.0151744  0.000000
971               left  0.015169      1         1    0   0.0151693  0.000000
1512            Bofang  0.015167      1         1    0    0.015167  0.000000
766        represented -0.015113      2         0    2           0 -0.015113
17               would -0.015098     17         3   14   0.0271087 -0.024142
484                 on  0.015092     24        22    2   0.0171659 -0.007720
43             receive -0.015091      1         0    1           0 -0.015091
908              needs -0.015088      2         0    2           0 -0.015088
1271             04562  0.015077      1         1    0   0.0150767  0.000000
329              focus -0.015070      2         0    2           0 -0.015070
587          direction -0.015061      2         0    2           0 -0.015061
1513        formatting  0.015060      1         1    0   0.0150605  0.000000
801              Mario  0.015044      1         1    0   0.0150435  0.000000
1345             joint  0.015039      1         1    0   0.0150386  0.000000
532            reasons -0.015036      2         0    2           0 -0.015036
372      supplementary  0.015032      4         4    0   0.0150321  0.000000
697              helps  0.014995      1         1    0   0.0149954  0.000000
36                loss  0.014985      6         6    0   0.0149845  0.000000
1133             doesn -0.014976      2         0    2           0 -0.014976
113       contribution  0.014961     10        10    0   0.0149605  0.000000
392            learned  0.014938      6         6    0   0.0149385  0.000000
1208              GRUs  0.014931      1         1    0   0.0149314  0.000000
200           included  0.014921      2         2    0   0.0149206  0.000000
944             apples  0.014882      2         2    0   0.0148816  0.000000
1181          pleasure  0.014878      1         1    0   0.0148785  0.000000
485         difference  0.014877      1         1    0   0.0148771  0.000000
763           accuracy -0.014862      3         0    3           0 -0.014862
99             results  0.014855     21        18    3   0.0198227 -0.014951
446               will  0.014838      5         5    0   0.0148382  0.000000
584               make  0.014752      5         5    0   0.0147516  0.000000
588              Barto  0.014747      1         1    0   0.0147465  0.000000
538                UCI  0.014729      1         1    0   0.0147294  0.000000
45        minimization -0.014725      1         0    1           0 -0.014725
1347             agree  0.014723      1         1    0   0.0147226  0.000000
802            against -0.014715      1         0    1           0 -0.014715
528          empirical -0.014701      2         0    2           0 -0.014701
267               know  0.014696      1         1    0   0.0146962  0.000000
966                now  0.014693      4         4    0   0.0146931  0.000000
356         convincing  0.014671      7         7    0   0.0146708  0.000000
1129         revisions  0.014667      2         2    0   0.0146674  0.000000
1461        clarifying  0.014666      1         1    0   0.0146661  0.000000
1101       appreciated  0.014663      2         2    0    0.014663  0.000000
634            novelty  0.014647      4         4    0   0.0146473  0.000000
539            playing  0.014644      1         1    0   0.0146438  0.000000
1116          existing -0.014610      3         0    3           0 -0.014610
1153               GCN -0.014597      1         0    1           0 -0.014597
280                 as -0.014582     20         0   20           0 -0.014582
1072             IJCAI -0.014560      1         0    1           0 -0.014560
1126            convey  0.014548      1         1    0   0.0145478  0.000000
1209              610K  0.014542      1         1    0   0.0145422  0.000000
978          sentiment  0.014532      3         3    0   0.0145319  0.000000
1154         favorably  0.014511      1         1    0   0.0145113  0.000000
540             except -0.014508      1         0    1           0 -0.014508
1043             learn  0.014458      6         6    0   0.0144581  0.000000
1008          thoughts  0.014424      1         1    0   0.0144238  0.000000
541              knobs  0.014415      1         1    0   0.0144151  0.000000
974              words  0.014411      1         1    0   0.0144115  0.000000
1412            ICASSP  0.014406      1         1    0   0.0144065  0.000000
590             family  0.014391      1         1    0   0.0143912  0.000000
761            caption  0.014374      2         2    0   0.0143737  0.000000
840              novel  0.014325      5         5    0   0.0143249  0.000000
93         improvement  0.014306      5         5    0    0.014306  0.000000
846        engineering -0.014286      1         0    1           0 -0.014286
714              valid -0.014277      2         0    2           0 -0.014277
426              tasks -0.014249      7         1    6   0.0125605 -0.018717
47         superficial -0.014248      1         0    1           0 -0.014248
517          confusing  0.014243      2         1    1   0.0383273 -0.009842
1127             curse  0.014234      1         1    0   0.0142337  0.000000
1328          showcase  0.014232      1         1    0   0.0142323  0.000000
217            writing  0.014227      5         5    0   0.0142273  0.000000
1413           retrain  0.014212      1         1    0   0.0142123  0.000000
649              SQuAD  0.014200      1         1    0   0.0142005  0.000000
